destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,event_name,event_venue,event_month_season,event_type,event_description,destination_image_path,hotel1_image_path,hotel2_image_path,hotel3_image_path,restaurant1_image_path,restaurant2_image_path,restaurant3_image_path
1,mount everest (sagarmatha national park),solukhumbu,"Mar-May, Sep-Nov","Mountain, Trekking, Adventure, UNESCO",Trekking & Adventure,"Trek to Base Camp, Mountain Climbing, Sherpa Culture, Photography",Hard,Flight + Multi-day Trek,27.9881,86.925,1,"Rising to 8,848 meters, Mount Everest is the crown jewel of Sagarmatha National Park, a UNESCO World Heritage Site. The park is home to dramatic Himalayan peaks, glaciers, and valleys, as well as the Sherpa people whose culture and monasteries enrich the region. Trekkers flock here for the Everest Base Camp trail, while climbers attempt the summit, making it both a natural wonder and a cultural landmark.","From Kathmandu, travel by flight to Lukla and then trek through Namche Bazaar to reach Sagarmatha National Park near Everest.",543,A breathtaking UNESCO site offering the ultimate Himalayan adventure.,Hotel Everest View,Syangboche / near Namche Bazaar (Khumbu),Historic high-altitude hotel with outstanding Everest panoramas; popular with trekkers.,4,Low (~$10–20),Sherpa Panorama Hotels,Khumbu,Well-known guesthouse in Namche with terrace views and good food.,3.8,Medium (~$35–60),Shangri-la Guest House,Khumbu,"Branded mountain-lodge, reliable service and hot showers (trekker favourite).",4.1,High (~$90+),TOMODACHI Restaurant, Namche,4,Low (~$10–20),Eat Smart,Namche ,3.8,Medium (~$35–60),Namché Organics,Namche,4.1,High (~$90+),NO,NO,NO,NO,NO,mount everest (sagarmatha national park)\Mount Everest (Sagarmatha National Park) 1.1.jpeg; mount everest (sagarmatha national park)\Mount Everest (Sagarmatha National Park)1.2.jpeg; mount everest (sagarmatha national park)\Mount Everest (Sagarmatha National Park)1.3.jpeg,hotel_images\mount everest (sagarmatha national park)\Hotel Everest View\entrance.jpg; hotel_images\mount everest (sagarmatha national park)\Hotel Everest View\rooms.jpg; hotel_images\mount everest (sagarmatha national park)\Hotel Everest View\view.jpg,hotel_images\mount everest (sagarmatha national park)\Sherpa Panorama Hotels\entrance.jpg; hotel_images\mount everest (sagarmatha national park)\Sherpa Panorama Hotels\rooms.jpg; hotel_images\mount everest (sagarmatha national park)\Sherpa Panorama Hotels\view.jpg,hotel_images\mount everest (sagarmatha national park)\Shangri-la Guest House\dining.jpg; hotel_images\mount everest (sagarmatha national park)\Shangri-la Guest House\entrance.jpg; hotel_images\mount everest (sagarmatha national park)\Shangri-la Guest House\rooms.jpg,restaurant_images\mount everest (sagarmatha national park)\TOMODACHI Restaurant\ambience.png; restaurant_images\mount everest (sagarmatha national park)\TOMODACHI Restaurant\entrance.png; restaurant_images\mount everest (sagarmatha national park)\TOMODACHI Restaurant\food.png,restaurant_images\mount everest (sagarmatha national park)\Eat Smart\ambience.png; restaurant_images\mount everest (sagarmatha national park)\Eat Smart\entrance.png; restaurant_images\mount everest (sagarmatha national park)\Eat Smart\food.png,restaurant_images\mount everest (sagarmatha national park)\Namché Organics\ambience.png; restaurant_images\mount everest (sagarmatha national park)\Namché Organics\entrance.png; restaurant_images\mount everest (sagarmatha national park)\Namché Organics\food.png
2,dantakali temple,dhankuta,Oct–Mar,Temple; Pilgrimage; Viewpoint,Natural Attractions,Worship; Sunrise/Sunset Viewing; Photography; Cultural Tour,Easy,Road Accessible + Short Hike,26.983,87.2835,1,"Situated in Dharan, the Dantakali Temple is a revered Hindu shrine dedicated to Goddess Dantakali, believed to mark the spot where Goddess Sati’s tooth fell. As one of Nepal’s Shakti Peethas, it draws thousands of devotees during festivals like Dashain and Navaratri. The temple’s pagoda-style architecture and peaceful hillside setting make it both spiritually significant and visually captivating.","From Kathmandu, drive or take a bus to Dharan in Sunsari District and then continue a short ride uphill to Dantakali Temple.",250,A sacred Shakti Peeth revered for its spiritual peace and panoramic Dharan views.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Dantakali Temple\Dantakali Temple 1.1.jpeg; Dantakali Temple\Dantakali Temple1.2.png; Dantakali Temple\Dantakali Temple1.3.jpeg,,,,,,
3,koshi tappu wildlife reserve,saptari,Oct–Mar,Wildlife; Birdwatching; Nature,Natural Attractions,Wildlife Safari; Birdwatching; Photography; Nature Walks,Easy,Road Accessible,26.6667,87,1,"Established in 1976, Koshi Tappu is Nepal’s smallest wildlife reserve but one of its most important wetlands. Recognized as a Ramsar site, it shelters the rare wild water buffalo (Arna) and over 400 bird species, including migratory waterfowl. Its marshes, mudflats, and reed beds create a paradise for birdwatchers and nature lovers.","From Kathmandu, drive or fly to Biratnagar and continue by road to Koshi Tappu Wildlife Reserve in Sunsari District.",350,A birdwatcher’s paradise filled with exotic migratory species and wetlands.,Aqua Birds Eco Resort ,Near Koshi Tappu (Koshi floodplain / Itahari region),Eco-style lodging aimed at birdwatchers; good for reserve access.,4,Low (~$10–20),Guru Hotel & Lodge (Itahari),Itahari (regional hub for the reserve),Practical base in Itahari for transfers to the reserve; decent mid-range option.,4.1,Medium (~$35–60),Soaltee Westend Itahari ,Itahari,Upscale regional hotel used by some visitors to the area and tour groups.,4,High (~$90+),New Family Resort and Sekuwa Corner,"MW39+CR3, Unnamed Road, Kanchanrup 56400",4,Low (~$10–20),Shikari than,"Prakashpur Road, Prakashpur 56713",4.1,Medium (~$35–60),Safari Restaurant,"Chatara Road, Pashchim Kushaha 56713",4,High (~$90+),Koshi Tappu Bird-Watch Season / Bird Festival (historic),Reserve camp / community grounds,Oct–Mar (migratory bird season); historic Bird Festivals held in Feb (past editions),Eco / Wildlife festival & guided birding,Annual bird-watching season with organized birding tours; past bird festival editions recorded. (Explore Himalaya Travel & Adventure),Koshi Tappu Wildlife Reserve\Koshi Tappu Wildlife Reserve1.1.jpeg; Koshi Tappu Wildlife Reserve\Koshi Tappu Wildlife Reserve1.2.jpeg; Koshi Tappu Wildlife Reserve\Koshi Tappu Wildlife Reserve1.3.jpeg,hotel_images\koshi tappu wildlife reserve\Aqua Birds Eco Resort\bird.jpg; hotel_images\koshi tappu wildlife reserve\Aqua Birds Eco Resort\board.jpg; hotel_images\koshi tappu wildlife reserve\Aqua Birds Eco Resort\dining.jpg; hotel_images\koshi tappu wildlife reserve\Aqua Birds Eco Resort\entrance.jpg,hotel_images\koshi tappu wildlife reserve\Guru Hotel & Lodge (Itahari)\bathroom.jpg; hotel_images\koshi tappu wildlife reserve\Guru Hotel & Lodge (Itahari)\entrance.jpg; hotel_images\koshi tappu wildlife reserve\Guru Hotel & Lodge (Itahari)\logo.jpg; hotel_images\koshi tappu wildlife reserve\Guru Hotel & Lodge (Itahari)\rooms.jpg,hotel_images\koshi tappu wildlife reserve\Soaltee Westend Itahari\dining.jpg; hotel_images\koshi tappu wildlife reserve\Soaltee Westend Itahari\entrance.jpg; hotel_images\koshi tappu wildlife reserve\Soaltee Westend Itahari\rooms.jpg; hotel_images\koshi tappu wildlife reserve\Soaltee Westend Itahari\seminar.jpg,restaurant_images\koshi tappu wildlife reserve\New Family Resort and Sekuwa Corner\ambience.png; restaurant_images\koshi tappu wildlife reserve\New Family Resort and Sekuwa Corner\food.png,restaurant_images\koshi tappu wildlife reserve\Shikari than\ambience.png; restaurant_images\koshi tappu wildlife reserve\Shikari than\food.png,restaurant_images\koshi tappu wildlife reserve\Safari Restaurant\entrance.png
4,ilām tea gardens,ilam,Oct–Mar,Tea Garden; Nature; Village,Natural Attractions,Photography; Tea Garden Tours; Walks; Local Experience,Easy,Road Accessible,26.92,88.01,1,"The rolling tea gardens of Ilām stretch across misty hills, producing some of Nepal’s finest tea. Visitors can stroll through lush plantations, learn about tea processing, and enjoy panoramic views of green landscapes dotted with small villages. The gardens are a symbol of Ilām’s identity and a serene escape for travelers.","From Kathmandu, drive or fly to Bhadrapur and continue by road to Ilam where you can explore the scenic tea gardens.",330,Serene green hills blanketed with tea plantations and misty mountain views.,Habre’s Nest (Habre's Nest),Ilam town / tea-garden area,Guesthouse set close to tea gardens; good for scenic walks and tea trails.,4.1,Low (~$10–20),Antu Cottage,Shree Antu / Antu sunrise viewpoint (Ilam),Cottage-style stay near the Antu sunrise viewpoint and tea trails.,3.9,Medium (~$35–60),The Paradise Cottages Pvt. Ltd.,Ilam outskirts / tea-garden area,"Cottage complex among tea estates — comfy, favored by small groups.",4,High (~$90+),Tea Garden restaurant Ilam,"Narayansthan Marg, Ilam 57300",4.1,Low (~$10–20),Tea garden view hand,"WW5C+XXF, Ilam 57300",3.9,Medium (~$35–60),Ilam tea House (House of Organic Tea Varieties),Ilam 57300,4,High (~$90+),International Ilam Tea Festival,Ilam Bazar / town public venue,June (early June as 2024/2025 edition),Cultural / Trade festival,"Festival to promote Nepali tea — stalls, tastings, cultural shows (Ilam hosted Intl. Tea Festival June 8–10, 2024). (The Annapurna Express)",ilām tea gardens\Ilām Tea Gardens1.1.jpeg; ilām tea gardens\Ilām Tea Gardens1.2.jpeg; ilām tea gardens\Ilām Tea Gardens1.3.jpeg; ilām tea gardens\Indrasarovar Lake 1.1.jpeg,,,,,,
5,bhedetar,dhankuta,Oct–Mar,Hill Town; Nature; Viewpoint,Natural Attractions,Sightseeing; Photography; Picnic; Short Hike,Easy,Road Accessible,26.997,87.285,1,"Just above Dharan, Bhedetar is a hill station known for its cool climate and misty atmosphere. It serves as a gateway to eastern Nepal’s scenic routes and offers panoramic views of the plains and hills. Its unpredictable weather — shifting from sunshine to fog within minutes — adds to its charm.","From Kathmandu, drive to Dharan and continue uphill to reach the hill station of Bhedetar.From Kathmandu, drive to Dharan and continue uphill to the hill station of Bhedetar.",700356,A peaceful hill station famous for its cool breeze and scenic Dharan valley overlook. A breezy hilltop town popular for its foggy charm and Dharan views.,TEC Resort & Bar (Tec Resort),Bhedetar (hill-station near Dharan),"One of the top-rated weekend stays in Bhedetar — bonfires, views, casual food.",4,Low (~$10–20),Namaste Resort (Bhedetar ),Bhedetar area,Small resort with valley views and simple amenities; popular with families.,4.1,Medium (~$35–60),Paul’s Hotel - Pauls Hotel ,Bhedetar,Family-run hotel used by domestic visitors and weekenders.,3.7,High (~$90+),Top Hill Tree House,"R7QW+8R6, H08, Dharan 56700",4,Low (~$10–20),The Dharan View,Dharan 56700,4.1,Medium (~$35–60),Seven Eleven Chillhill,"H08, Dharan 56700",3.7,High (~$90+),Bhedetar Tourism & Food Festival (real),Bhedetar View Tower Area,Winter (Dec–Jan),Tourism / Cultural,"Annual tourism fair with local cuisines, music concerts, paragliding, and art shows.",Bhedetar\Bhedetar1.1.jpeg; Bhedetar\Bhedetar1.2.jpeg; Bhedetar\Bhedetar1.3.jpeg,hotel_images\bhedetar\TEC Resort & Bar (Tec Resort)\camps.jpg; hotel_images\bhedetar\TEC Resort & Bar (Tec Resort)\dining.jpg; hotel_images\bhedetar\TEC Resort & Bar (Tec Resort)\view.jpg,hotel_images\bhedetar\Namaste Resort (Bhedetar )\bathrooom.jpg; hotel_images\bhedetar\Namaste Resort (Bhedetar )\entrance.jpg; hotel_images\bhedetar\Namaste Resort (Bhedetar )\food.jpg; hotel_images\bhedetar\Namaste Resort (Bhedetar )\rooms.jpg,hotel_images\bhedetar\Paul’s Hotel - Pauls Hotel\entrance.jpg; hotel_images\bhedetar\Paul’s Hotel - Pauls Hotel\food.jpg; hotel_images\bhedetar\Paul’s Hotel - Pauls Hotel\rooms.jpg,restaurant_images\bhedetar\Top Hill Tree House\ambience.png; restaurant_images\bhedetar\Top Hill Tree House\food.png,restaurant_images\bhedetar\The Dharan View\entrance.png; restaurant_images\bhedetar\The Dharan View\food.png,restaurant_images\bhedetar\Seven Eleven Chillhill\ambience.png; restaurant_images\bhedetar\Seven Eleven Chillhill\entrance.png; restaurant_images\bhedetar\Seven Eleven Chillhill\food.png
6,limbu villages,tehrathum,Mar–May; Sep–Nov,Cultural Village; Limbu,Cultural & Religious Sites,Cultural Tours; Trekking; Photography,Moderate,Road + Trekking,27.2,87.45,1,"Traditional Limbu settlements in eastern Nepal showcase rich culture, unique architecture, and warm hospitality. Visitors can experience local festivals, taste traditional dishes like tongba (millet beer), and learn about the Limbu people’s deep connection to their land and heritage
","From Kathmandu, travel to Ilam or Taplejung by road and visit the traditional Limbu Villages in the region.From Kathmandu, travel toward Taplejung or Panchthar and visit the traditional Limbu Villages.",1000510,"Authentic Limbu culture and warm rural hospitality amidst lush hills. Rich in Limbu traditions, dances, and authentic highland culture.",Sinam Village Homestay -Sinam Homestay collective,Sinam (Taplejung district),"Community homestay in a Limbu village — cultural immersion, traditional meals.",4,Low (~$10–20),Koldanda Community Homestay (Limbu area),Nearby Limbu village (community homestay network),"Community-run homestay offering cultural programs, local guides.",3.7,Medium (~$35–60), Kanchenjunga Guest House,Taplejung (trailheads for Limbu areas),Simple guesthouses used as bases for Limbu-culture visits and treks.,4,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Limbu Heritage & Culture Festival (proposed),Limbu Heritage Center,Nov,Ethnic / Cultural,"Limbu dance, costumes, food tasting, and storytelling events.",Limbu Villages\Limbu Villages1.1.jpeg; Limbu Villages\Limbu Villages1.2.jpeg; Limbu Villages\Limbu Villages1.3.jpeg,,hotel_images\limbu villages\Koldanda Community Homestay (Limbu area)\dining.jpg; hotel_images\limbu villages\Koldanda Community Homestay (Limbu area)\entrance.jpg; hotel_images\limbu villages\Koldanda Community Homestay (Limbu area)\otherhomes.jpg; hotel_images\limbu villages\Koldanda Community Homestay (Limbu area)\views.jpg,hotel_images\limbu villages\Kanchenjunga Guest House\dining.jpg; hotel_images\limbu villages\Kanchenjunga Guest House\entrance.jpg; hotel_images\limbu villages\Kanchenjunga Guest House\rooms.jpg; hotel_images\limbu villages\Kanchenjunga Guest House\view.jpg,,,
7,hile,dhankuta,Oct–Mar,Hill Town; Local Market; Trekking Start,Natural Attractions,Market Tour; Local Experience; Photography; Short Treks,Easy,Road Accessible,26.987,87.29,1,"A bustling town in Dhankuta district, Hile is a popular stopover for travelers heading into the hills. Known for its cool weather and lively bazaar, it offers a glimpse into everyday life in eastern Nepal while serving as a hub for trade and culture.","From Kathmandu, drive to Dharan and continue toward Dhankuta to reach Hile.",980,"A charming hill town known for its cool climate, views, and traditional Newari culture.",Hotel Hile View,Hile (Dhankuta),Hilltop hotel with good views and friendly staff.,4,Low (~$10–20),Hotel Makalu View Hile,Hile,"Simple midrange rooms, convenient for market visits.",3.8,Medium (~$35–60),Hotel Kanjirowa,Hile,"Budget-friendly, good for short stays.",3.7,Medium (~$35–60),Subba sekuwa corner,"28H7+FCP, Koshi Hwy, Dhankuta 56806",4,Low (~$10–20),Hang out restaurant & resort,"373G+HGC, H18, Pakhribas 56800",3.8,Medium (~$35–60),AMBAR (LO) HOTEL,"2873+Q86, Dhankuta 56800",3.7,Medium (~$35–60),NO,NO,NO,NO,NO,Chhapahile\download (1).jpeg; Chhapahile\download (2).jpeg; Chhapahile\download (3).jpeg; Chhapahile\download (4).jpeg; Chhapahile\download.jpeg,hotel_images\hile\Hotel Hile View\dining.jpg; hotel_images\hile\Hotel Hile View\entrance.jpg; hotel_images\hile\Hotel Hile View\rooms.jpg; hotel_images\hile\Hotel Hile View\view.jpg,hotel_images\hile\Hotel Makalu View Hile\entrance.jpg; hotel_images\hile\Hotel Makalu View Hile\entrance2.jpg; hotel_images\hile\Hotel Makalu View Hile\rooms.jpg; hotel_images\hile\Hotel Makalu View Hile\view.jpg,hotel_images\hile\Hotel Kanjirowa\entrance.jpg; hotel_images\hile\Hotel Kanjirowa\entrance2.jpg; hotel_images\hile\Hotel Kanjirowa\food.jpg; hotel_images\hile\Hotel Kanjirowa\rooms.jpg,restaurant_images\hile\Subba sekuwa corner\ambience.png; restaurant_images\hile\Subba sekuwa corner\entrance.png; restaurant_images\hile\Subba sekuwa corner\food.png,restaurant_images\hile\Hang out restaurant & resort\ambience.png; restaurant_images\hile\Hang out restaurant & resort\entrance.png; restaurant_images\hile\Hang out restaurant & resort\food.png,restaurant_images\hile\AMBAR (LO) HOTEL\entrance.png
8,rhododendron bloom spots,tehrathum/ilam,Mar–May,Trekking; Nature; Rhododendron,Natural Attractions,Trekking; Rhododendron Viewing; Photography; Camping,Moderate,Road + Trekking,27.21,87.45,1,"In spring, the hills of eastern Nepal burst into color with rhododendrons, Nepal’s national flower. These bloom spots transform forests into vibrant landscapes, attracting trekkers and photographers eager to witness the natural spectacle.","From Kathmandu, travel to Tinjure, Milke, or Jaljale region in Tehrathum to witness rhododendron bloom spots.",900,Hillsides come alive with vibrant red and pink blooms each spring.,The Hotel Nanglo,Pathibhara Devi Temple,Cozy lodge near rhododendron trails and viewpoints.,4.2,High (~$90+),Taplejung Guest House and Hotel Pathivara,Taplejung,"Rustic cottages near trails, good for bloom season.",4,Low (~$10–20),Hotel Pathibhara (EV Charging point),Phungling,"Homestay-style, immersive local experience.",4.1,Medium (~$35–60),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.1.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.10.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.2.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.3.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.4.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.5.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.7.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.8.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.9.jpeg,hotel_images\rhododendron bloom spots\The Hotel Nanglo\entrance.jpg; hotel_images\rhododendron bloom spots\The Hotel Nanglo\rooms.jpg; hotel_images\rhododendron bloom spots\The Hotel Nanglo\views.jpg,hotel_images\rhododendron bloom spots\Taplejung Guest House and Hotel Pathivara\entrance.jpg; hotel_images\rhododendron bloom spots\Taplejung Guest House and Hotel Pathivara\rooms.jpg; hotel_images\rhododendron bloom spots\Taplejung Guest House and Hotel Pathivara\view.jpg,hotel_images\rhododendron bloom spots\Hotel Pathibhara (EV Charging point)\rooms.jpg; hotel_images\rhododendron bloom spots\Hotel Pathibhara (EV Charging point)\rooms2.jpg; hotel_images\rhododendron bloom spots\Hotel Pathibhara (EV Charging point)\view.jpg,,,
9,didi-baini waterfall,ilam,Mar–May,Waterfall; Nature; Picnic Spot,Natural Attractions,Sightseeing; Photography; Picnic,Easy,Road Accessible,26.9833,87.9833,1,"Located near Dharan, this twin waterfall is a refreshing retreat surrounded by greenery. Its name, meaning “elder and younger sisters,” reflects the paired cascades that tumble side by side, creating a tranquil and picturesque setting.","From Kathmandu, drive to Dhankuta and continue to the local Didi-Baini Waterfall area.",500,A hidden natural gem surrounded by dense greenery and tranquility.,Nepal Village Homestay,Pathibhara area,Simple lodge close to the waterfall trailhead.,3.9,Medium (~$35–60),Chintapu Homestay,"Ilam, Sandakpur","Scenic cottage, helpful guides for short hikes.",4,High (~$90+),HOTEL TAMU ILAM,Ilam,Clean rooms and good local food.,4,Low (~$10–20),No,No,No,No,No,No,No,No,No,No,No,No,Didi-Baini Picnic & Nature Day (proposed / seasonal local fair),Waterfall access clearing / village common ground,Monsoon / Post-monsoon (Jul–Oct),Local / Nature picnic (proposed),No formal large-scale event found; many waterfalls host local picnic days and community gatherings in peak season — proposed event for dataset.,Didi-Baini Waterfall\Didi-Baini Waterfall 1.1.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.10.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.2.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.3.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.4.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.5.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.6.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.7.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.8.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.9.jpeg,hotel_images\didi-baini waterfall\Nepal Village Homestay\entrance.jpg; hotel_images\didi-baini waterfall\Nepal Village Homestay\entrance2.jpg; hotel_images\didi-baini waterfall\Nepal Village Homestay\rooms.jpg; hotel_images\didi-baini waterfall\Nepal Village Homestay\view.jpg,hotel_images\didi-baini waterfall\Chintapu Homestay\entrance.jpg; hotel_images\didi-baini waterfall\Chintapu Homestay\food.jpg; hotel_images\didi-baini waterfall\Chintapu Homestay\rooms.jpg; hotel_images\didi-baini waterfall\Chintapu Homestay\views.jpg,hotel_images\didi-baini waterfall\HOTEL TAMU ILAM\bathroom.jpg; hotel_images\didi-baini waterfall\HOTEL TAMU ILAM\dining.jpg; hotel_images\didi-baini waterfall\HOTEL TAMU ILAM\entrance.jpg; hotel_images\didi-baini waterfall\HOTEL TAMU ILAM\rooms.jpg,,,
10,barun valley,sankhuwasabha,Mar–May; Sep–Nov,Hidden Valley; Trekking; Nature,Natural Attractions,Trekking; Camping; Photography,Hard,Flight + Trekking,27.8667,87.2833,1,"Nestled below Mount Makalu, Barun Valley is a pristine wilderness of alpine meadows, waterfalls, and rare flora and fauna. Its untouched beauty makes it a paradise for trekkers seeking solitude and connection with nature.","From Kathmandu, fly to Tumlingtar in Sankhuwasabha and trek through the Makalu region to reach Barun Valley.",600,A pristine valley offering untouched wilderness below majestic Makalu.,Himalayan Hotel,"Khumjung, Sagarmatha",Base accommodation before treks toward Makalu/Barun.,4,Low (~$10–20),Machermo Lodge & Bakery,"Machhermo, Machermo","Practical, trekkers' choice for pre/post trek stay.",3.9,Medium (~$35–60),Hotel Sherpaland,"Namche Bazaar, Khumbu","Mountain-lodge style, used by expedition groups.",4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,Barun Valley\Barun Valley 1.1.jpeg; Barun Valley\Barun Valley 1.10.jpeg; Barun Valley\Barun Valley 1.2.jpeg; Barun Valley\Barun Valley 1.3.jpeg; Barun Valley\Barun Valley 1.4.jpeg; Barun Valley\Barun Valley 1.5.jpeg; Barun Valley\Barun Valley 1.6.jpeg; Barun Valley\Barun Valley 1.7.jpeg; Barun Valley\Barun Valley 1.8.jpeg; Barun Valley\Barun Valley 1.9.jpeg,hotel_images\barun valley\Himalayan Hotel\dining.jpg; hotel_images\barun valley\Himalayan Hotel\entrance.jpg; hotel_images\barun valley\Himalayan Hotel\rooms.jpg; hotel_images\barun valley\Himalayan Hotel\views.jpg,hotel_images\barun valley\Machermo Lodge & Bakery\dining.jpg; hotel_images\barun valley\Machermo Lodge & Bakery\entrance.jpg; hotel_images\barun valley\Machermo Lodge & Bakery\food.jpg; hotel_images\barun valley\Machermo Lodge & Bakery\rooms.jpg; hotel_images\barun valley\Machermo Lodge & Bakery\views.jpg,hotel_images\barun valley\Hotel Sherpaland\bathroom.jpg; hotel_images\barun valley\Hotel Sherpaland\entrance.jpg; hotel_images\barun valley\Hotel Sherpaland\rooms.jpg,,,
