Name,District,Transportation
Mount Everest (Sagarmatha National Park),Solukhumbu,"From Kathmandu, travel by flight to Lukla and then trek through Namche Bazaar to reach Sagarmatha National Park near Everest."
Dantakali Temple,Dhankuta,"From Kathmandu, drive or take a bus to Dharan in Sunsari District and then continue a short ride uphill to Dantakali Temple."
Koshi Tappu Wildlife Reserve,Saptari,"From Kathmandu, drive or fly to Biratnagar and continue by road to Koshi Tappu Wildlife Reserve in Sunsari District."
Ilām Tea Gardens,Ilam,"From Kathmandu, drive or fly to Bhadrapur and continue by road to Ilam where you can explore the scenic tea gardens."
Bhedetar,Dhankuta,"From Kathmandu, drive to Dharan and continue uphill to reach the hill station of Bhedetar."
Tempu-Helambu Trek,Sindhupalchok,"From Kathmandu, drive to Melamchi in Sindhupalchok and start the Tempu-Helambu Trek crossing towards Solukhumbu."
Limbu Villages,Tehrathum,"From Kathmandu, travel to Ilam or Taplejung by road and visit the traditional Limbu Villages in the region."
Hile,Dhankuta,"From Kathmandu, drive to Dharan and continue toward Dhankuta to reach Hile."
Rhododendron Bloom Spots,Tehrathum/Ilam,"From Kathmandu, travel to Tinjure, Milke, or Jaljale region in Tehrathum to witness rhododendron bloom spots."
Didi-Baini Waterfall,Ilam,"From Kathmandu, drive to Dhankuta and continue to the local Didi-Baini Waterfall area."
Barun Valley,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar in Sankhuwasabha and trek through the Makalu region to reach Barun Valley."
Makalu Barun National Park,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and trek to reach Makalu Barun National Park in Sankhuwasabha."
Triveni Dham,Nawalparasi,"From Kathmandu, drive to Nawalpur via Narayanghat and continue toward the Triveni Dham pilgrimage site."
Thamserku Viewpoint,Solukhumbu,"From Kathmandu, fly to Lukla and trek through Namche Bazaar toward the Thamserku Viewpoint."
Taplejung Micro Temple,Taplejung,"From Kathmandu, drive or fly to Taplejung and visit the local micro temple sites in the town."
Hile Tiny Viewpoint,Dhankuta,"From Kathmandu, drive to Dhankuta and then to Hile where you can reach the tiny viewpoint nearby."
Sankhuwasabha Micro Waterfall,Sankhuwasabha,"From Kathmandu, fly or drive to Khandbari in Sankhuwasabha and continue toward local micro waterfall sites."
Kanchenjunga Base Camp Viewpoint,Taplejung,"From Kathmandu, fly or drive to Taplejung and trek toward Kanchenjunga Base Camp for the viewpoint."
Ilaka Bazaar Homestays,Ilam,"From Kathmandu, travel to Bhojpur by road or flight and continue to Ilaka Bazaar for homestay experiences."
Thulung Dudhkoshi Trek,Sankhuwasabha,"From Kathmandu, drive or fly to Phaplu in Solukhumbu and start the Thulung Dudhkoshi Trek from there."
Himalayan Hot Springs,Taplejung,"From Kathmandu, travel to Sankhuwasabha or Taplejung by air or road and visit the Himalayan hot springs nearby."
Makalu Viewpoint,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and trek to Makalu Base area for the Makalu Viewpoint."
Sabhapokhari,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and trek toward Sabhapokhari in Sankhuwasabha District."
"Rhododendron Trail (Tinjure, Milke, Jaljale)",Tehrathum,"From Kathmandu, drive to Dhankuta and then continue to Tehrathum region to explore the rhododendron trail."
Local Mountain Viewpoints (Tehrathum/Panchthar),Tehrathum/Panchthar,"From Kathmandu, travel to Tehrathum or Panchthar by road and visit the nearby mountain viewpoints."
Bantawa Village,Tehrathum,"From Kathmandu, drive to Dhankuta and visit Bantawa Village known for its ethnic culture."
Seasonal Waterfalls (Ilam/Taplejung),Ilam/Taplejung,"From Kathmandu, travel to Ilam or Taplejung and visit the seasonal waterfalls during monsoon season."
Himalayan Viewpoint,Taplejung,"From Kathmandu, reach eastern hill districts such as Taplejung or Sankhuwasabha to see Himalayan viewpoints."
Phakumba,Taplejung,"From Kathmandu, fly or drive to Taplejung and continue to Phakumba village area."
Biratnagar,Morang,"From Kathmandu, fly or drive directly to Biratnagar, the major city of eastern Nepal."
Taplejung,Taplejung,"From Kathmandu, drive via Dharan and Dhankuta or take a flight to Taplejung."
Ilam,Ilam,"From Kathmandu, drive or fly to Bhadrapur and then reach Ilam by road."
Dhankuta,Dhankuta,"From Kathmandu, drive toward Dharan and continue uphill to reach Dhankuta town."
Sankhuwasabha,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar or drive via Dharan and continue to Sankhuwasabha."
Ilaka Bazaar & Homestays (Bhojpur),Bhojpur,"From Kathmandu, travel to Bhojpur by road or short flight and continue to Ilaka Bazaar for local homestays."
Khoping Pokhari,Tehrathum,"From Kathmandu, fly or drive to Sankhuwasabha and continue toward Khoping Pokhari."
Himalayan Hot Springs (Taplejung/Sankhuwasabha),Taplejung/Sankhuwasabha,"From Kathmandu, travel toward Taplejung or Sankhuwasabha to visit the Himalayan hot springs region."
Jhyau pokhari,Ilam,"From Kathmandu, fly or drive to Sankhuwasabha and continue toward Jhyau Pokhari area."
Jhyau Pokhari,Panchthar,"From Kathmandu, travel again to Sankhuwasabha region to reach Jhyau Pokhari."
Nundhaki,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and drive to Nundhaki in Sankhuwasabha."
Mawadin,Sankhuwasabha,"From Kathmandu, travel toward Sankhuwasabha and reach Mawadin village by local transport."
Dudh Koshi River (Solukhumbu),Solukhumbu,"From Kathmandu, fly to Lukla and trek along the Dudh Koshi River valley."
Namobuddha Monastery (Bhojpur/Khotang),Bhojpur/Khotang,"From Kathmandu, drive to Bhojpur or Khotang to reach the Namobuddha Monastery in that region."
Bantawa Village (Dhankuta),Dhankuta,"From Kathmandu, drive to Dhankuta and continue to Bantawa Village area."
Sherpa Villages (Solukhumbu),Solukhumbu,"From Kathmandu, fly to Lukla and trek through Namche and Khumjung to explore Sherpa Villages."
Limbu Villages (Panchthar–Taplejung),Panchthar–Taplejung,"From Kathmandu, travel to Panchthar or Taplejung by road and visit Limbu Villages."
Tempu–Helambu Trek (Sindhupalchok/Solukhumbu border),Sindhupalchok/Solukhumbu border,"From Kathmandu, drive to Melamchi and start the Tempu–Helambu Trek toward the Solukhumbu border."
"Dantakali Temple (Sunsari, Dharan)",Sunsari,"From Kathmandu, drive or take a bus to Dharan and visit Dantakali Temple in Sunsari District."
Hile (Dhankuta),Dhankuta,"From Kathmandu, drive toward Dharan and continue to Hile in Dhankuta."
Ethnic Villages (Sankhuwasabha/Bhojpur),Sankhuwasabha/Bhojpur,"From Kathmandu, travel to Sankhuwasabha or Bhojpur to visit the ethnic village settlements."
Gokyo Lakes,Solukhumbu,"From Kathmandu, fly to Lukla and trek through Dole and Machhermo to reach the Gokyo Lakes."
Namche Bazaar,Solukhumbu,"From Kathmandu, fly to Lukla and trek upward to Namche Bazaar, the gateway to Everest."
Kanyam Tea Garden,Ilam,"From Kathmandu, drive or fly to Bhadrapur and continue to Kanyam in Ilam to explore tea gardens."
Sherpa Villages,Solukhumbu,"From Kathmandu, fly to Lukla and trek toward Namche and Khumjung to explore Sherpa Villages."
Sangu,Taplejung,"From Kathmandu, drive to Taplejung region and continue to the Sangu area."
Dudh Koshi River Rafting,Solukhumbu/Sankhuwasabha,"From Kathmandu, drive or fly to Solukhumbu and start rafting on the Dudh Koshi River."
Antu Danda,Ilam,"From Kathmandu, travel to Ilam by road or flight and visit Antu Danda for sunrise views."
Maipokhari,Ilam,"From Kathmandu, drive or fly to Ilam and visit the Maipokhari sacred wetland."
Kanchenjunga Conservation Area,Taplejung,"From Kathmandu, fly or drive to Taplejung and continue trekking within the Kanchenjunga Conservation Area."
Sandakpur,Ilam,"From Kathmandu, travel by road or flight to Ilam and continue uphill to Sandakpur, the eastern viewpoint on the Nepal–India border."
"TMJ Ridge (Tinjure, Milke, Jaljale)",Tehrathum,"From Kathmandu, drive toward Dhankuta and continue to Tehrathum to trek along the Tinjure, Milke, Jaljale ridge."
Halesi Mahadev Temple,Khotang,"From Kathmandu, drive or take a flight to Diktel in Khotang District and continue by road to the sacred Halesi Mahadev Cave Temple."
Dharan (Budhasubba & Pindeshwor),Sunsari,"From Kathmandu, drive toward Sunsari District to reach Dharan, where Budhasubba and Pindeshwor temples are located."
Pathibhara Devi Temple,Taplejung,"From Kathmandu, fly or drive to Taplejung and trek or drive uphill to the famous Pathibhara Devi Temple."
Barahachhetra,Sunsari,"From Kathmandu, drive to Dharan and continue to Barahachhetra near the confluence of the Sapta Koshi River."
Ilaka Bazaar & Village Homestays,Ilam,"From Kathmandu, fly or drive to Bhojpur and continue to Ilaka Bazaar for local village homestays."
Gorja,Taplejung,"From Kathmandu, travel toward Tehrathum District by road and continue locally to reach the village of Gorja."
Chhankhola Waterfall,Sankhuwasabha,"From Kathmandu, drive to Dhankuta District and continue to Chhankhola village to visit the waterfall."
Mehele,Taplejung,"From Kathmandu, travel by road to Panchthar District and continue toward Mehele village."
Okhre,Sankhuwasabha,"From Kathmandu, drive toward Dhankuta and continue along the local route to Okhre village."
Gairi Pangma,Sankhuwasabha,"From Kathmandu, fly or drive to Sankhuwasabha and continue by local transport to Gairi Pangma."
Bhedetar,Dhankuta,"From Kathmandu, drive to Dharan and continue uphill to the hill station of Bhedetar."
