Destination ID,Destination ,District,Best Season,Tags,Main Category,Activities,Difficulty Level,Accessibility,Latitude,Longitude,Province
1,Mount Everest (Sagarmatha National Park),Solukhumbu,"Mar-May, Sep-Nov","Mountain, Trekking, Adventure, UNESCO",Trekking & Adventure,"Trek to Base Camp, Mountain Climbing, Sherpa Culture, Photography",Hard,Flight + Multi-day Trek,27.9881,86.925,1
2,Dantakali Temple,Dhankuta,Oct–Mar,Temple; Pilgrimage; Viewpoint,Natural Attractions,Worship; Sunrise/Sunset Viewing; Photography; Cultural Tour,Easy,Road Accessible + Short Hike,26.983,87.2835,1
3,Koshi Tappu Wildlife Reserve,Saptari,Oct–Mar,Wildlife; Birdwatching; Nature,Natural Attractions,Wildlife Safari; Birdwatching; Photography; Nature Walks,Easy,Road Accessible,26.6667,87,1
4,Ilām Tea Gardens,Ilam,Oct–Mar,Tea Garden; Nature; Village,Natural Attractions,Photography; Tea Garden Tours; Walks; Local Experience,Easy,Road Accessible,26.92,88.01,1
5,Bhedetar,Dhankuta,Oct–Mar,Hill Town; Nature; Viewpoint,Natural Attractions,Sightseeing; Photography; Picnic; Short Hike,Easy,Road Accessible,26.997,87.285,1
6,Limbu Villages,Tehrathum,Mar–May; Sep–Nov,Cultural Village; Limbu,Cultural & Religious Sites,Cultural Tours; Trekking; Photography,Moderate,Road + Trekking,27.2,87.45,1
7,Hile,Dhankuta,Oct–Mar,Hill Town; Local Market; Trekking Start,Natural Attractions,Market Tour; Local Experience; Photography; Short Treks,Easy,Road Accessible,26.987,87.29,1
8,Rhododendron Bloom Spots,Tehrathum/Ilam,Mar–May,Trekking; Nature; Rhododendron,Natural Attractions,Trekking; Rhododendron Viewing; Photography; Camping,Moderate,Road + Trekking,27.21,87.45,1
9,Didi-Baini Waterfall,Ilam,Mar–May,Waterfall; Nature; Picnic Spot,Natural Attractions,Sightseeing; Photography; Picnic,Easy,Road Accessible,26.9833,87.9833,1
10,Barun Valley,Sankhuwasabha,Mar–May; Sep–Nov,Hidden Valley; Trekking; Nature,Natural Attractions,Trekking; Camping; Photography,Hard,Flight + Trekking,27.8667,87.2833,1
11,Makalu Barun National Park,Sankhuwasabha,Mar–May; Sep–Nov,Remote Trekking; Wilderness; Biodiversity,Trekking & Adventure,Trekking; Wildlife Spotting; Camping; Photography,Hard,Flight + Trekking,27.8833,87.2333,1
12,Triveni Dham,Nawalparasi,Oct–Mar,"Pilgrimage Site, Religious Tourism, River Confluence, Hindu Temple",Natural Attractions,"Holy Bathing, Temple Visit, Religious Fair, Boating, Sightseeing",Easy,Road Accessible,27.45,83.93,1
13,Thamserku Viewpoint,Solukhumbu,"Mar–May, Sep–Nov","Mountain, Trekking, Viewpoint",Natural Attractions,"Trekking, Sunrise/Sunset Photography, Mountain Viewing",Hard,Trekking from Namche Bazaar,27.75,86.7,1
14,Taplejung Micro Temple,Taplejung,Oct–Mar,Temple; Local; Offbeat,Cultural & Religious Sites,Worship; Photography; Short Walk,Easy,Road + Short Walk,27.3,87.6,1
15,Hile Tiny Viewpoint,Dhankuta,Oct–Mar,Viewpoint; Nature; Offbeat,Natural Attractions,Photography; Short Walk; Nature Observation,Easy,Road + Short Walk,26.99,87.29,1
16,Sankhuwasabha Micro Waterfall,Sankhuwasabha,Oct–Mar,Waterfall; Nature; Offbeat,Natural Attractions,Photography; Short Trek; Nature Walk,Moderate,Road + Short Trek,27.91,87.11,1
17,Kanchenjunga Base Camp Viewpoint,Taplejung,Mar–May; Sep–Nov,Viewpoint; Mountain; Scenic,Natural Attractions,Photography; Trekking; Camping; Sunrise/Sunset,Hard,Trek Access,27.7,87.7,1
18,Ilaka Bazaar Homestays,Ilam,Oct–Mar,Village; Cultural; Offbeat,Cultural & Religious Sites,Homestay; Photography; Tea Garden Visit,Easy,Road Accessible,26.92,88.02,1
19,Thulung Dudhkoshi Trek,Sankhuwasabha,Mar–May; Sep–Nov,Trekking; Sherpa Village; Nature,Natural Attractions,Trekking; Village Exploration; Camping; Photography,Hard,Flight + Trekking,27.9,87.1,1
20,Himalayan Hot Springs,Taplejung,Oct–Mar,Hot Springs; Nature; Relaxation,Natural Attractions,Relaxation; Photography; Nature Walks,Easy,Road Accessible,27.7,87.75,1
